0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.741468,0.689322,0.514976,0.364082,0.337116,0.346616,0.136606,0.039703,0.038664,0.071799,-0.131656,-0.187665,-0.164468,-0.119678
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.866632,0.787932,0.680998,0.564274,0.516132,0.460150,0.365756,0.277804,0.251152,0.210531,0.124853,0.070500,0.083977,0.084883
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.867124,0.785761,0.669956,0.551499,0.521836,0.473840,0.382217,0.287783,0.287043,0.248787,0.159353,0.091764,0.114066,0.106138
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.880785,0.814549,0.747777,0.690581,0.657119,0.620977,0.586810,0.551309,0.532228,0.503545,0.475964,0.448880,0.435255,0.415169
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.469510,0.408048,0.357242,0.272383,0.231576,0.176606,0.109446,0.033790,0.001976,-0.034168,-0.094313,-0.140965,-0.156446,-0.149020
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.676911,0.574273,0.475514,0.393036,0.337163,0.269997,0.232045,0.192840,0.167474,0.130160,0.130425,0.117931,0.104447,0.078321
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.753168,0.675266,0.587790,0.484439,0.414278,0.336222,0.274896,0.210752,0.168794,0.122425,0.087484,0.047210,0.045804,0.042279
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.735099,0.657356,0.623596,0.603764,0.496263,0.407680,0.403650,0.426153,0.310733,0.232104,0.257292,0.303951,0.195632,0.136228
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.342698,0.285445,0.216905,0.259810,0.186832,0.148125,0.128286,0.155560,0.123560,0.069162,0.065985,0.091618,0.059939,0.019869
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.642350,0.544776,0.454631,0.360065,0.302309,0.243966,0.198248,0.144368,0.108267,0.086448,0.072020,0.042035,0.021936,0.028333
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.621110,0.522249,0.428798,0.345638,0.270485,0.220266,0.180349,0.137982,0.099039,0.079397,0.055532,0.037799,0.017471,0.016000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.431755,0.347936,0.298340,0.264500,0.192847,0.140262,0.119206,0.121842,0.064153,0.045473,0.048221,0.072166,0.039022,0.027971
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-0.065204,-0.105412,-0.072363,-0.057121,-0.133568,-0.128750,-0.092172,-0.078771,-0.142472,-0.152585,-0.111645,-0.075633,-0.138895,-0.131131
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.629056,0.550238,0.449635,0.329595,0.298370,0.244508,0.200670,0.131400,0.120358,0.096816,0.065314,0.028746,0.045233,0.062787
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.611783,0.527278,0.412265,0.301748,0.269563,0.206680,0.161504,0.100740,0.107083,0.075279,0.044374,0.022125,0.049200,0.032177
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.450246,0.364719,0.301204,0.248448,0.187820,0.122218,0.105651,0.112759,0.063888,0.024682,0.036591,0.069602,0.053895,0.008466
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.489431,0.517155,0.596695,0.570285,0.457222,0.421552,0.458647,0.457715,0.381313,0.343928,0.361574,0.378632,0.323523,0.293047
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.307902,0.230404,0.223636,0.217055,0.116206,0.087816,0.090855,0.121836,0.047816,0.036995,0.047177,0.084899,0.022933,0.017110
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.657259,0.621680,0.636870,0.617629,0.556569,0.539771,0.556915,0.556611,0.504454,0.493690,0.511127,0.516161,0.468171,0.453367
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
